name_beer,abv,name_brewery,city,country,latitude,longitude,descript,cat_name,style_name
Pelican Bay Brown,5.565263157894736,Dockside Brewing,Vancouver,Canada,49.2698,-123.132,,North American Ale,American-Style Brown Ale
Cartwright Pale Ale,4.3,Dockside Brewing,Vancouver,Canada,49.2698,-123.132,,North American Ale,American-Style Pale Ale
Hopluia,5.529090909090908,Spilker Ales,Cortland,United States,40.5058,-96.70700000000001,,North American Ale,American-Style Pale Ale
1916 Irish Stout,3.5,Gottberg Brew Pub,Columbus,United States,41.4295,-97.3623,,North American Ale,American-Style Stout
Wilsteraner Altbier,5.6,Gottberg Brew Pub,Columbus,United States,41.4295,-97.3623,,North American Ale,American-Style Brown Ale
Trademark English Pale,5.529090909090908,Breckenridge Brewery,Denver,United States,39.7236,-105.001,,North American Ale,American-Style Pale Ale
Firkin IPA,6.543030303030303,Maritime Pacific Brewing,Seattle,United States,47.6637,-122.37700000000001,,North American Ale,American-Style India Pale Ale
Islander Pale Ale,5.0,Maritime Pacific Brewing,Seattle,United States,47.6637,-122.37700000000001,,North American Ale,American-Style Pale Ale
Flagship Red Alt Ale,5.2,Maritime Pacific Brewing,Seattle,United States,47.6637,-122.37700000000001,,North American Ale,American-Style Amber/Red Ale
Black Mulligan Dublin Stout,6.356694915254237,Big Time Brewing,Seattle,United States,47.6576,-122.31299999999999,,North American Ale,American-Style Stout
Atlas Amber Ale,5.703333333333332,Big Time Brewing,Seattle,United States,47.6576,-122.31299999999999,,North American Ale,American-Style Amber/Red Ale
Prime Time Pale Ale,5.529090909090908,Big Time Brewing,Seattle,United States,47.6576,-122.31299999999999,,North American Ale,American-Style Pale Ale
Snow Melt Nitrogen Pale,5.529090909090908,Big Time Brewing,Seattle,United States,47.6576,-122.31299999999999,,North American Ale,American-Style Pale Ale
Old Rip Oatmeal Stout,6.356694915254237,Big Time Brewing,Seattle,United States,47.6576,-122.31299999999999,,North American Ale,American-Style Stout
Scarlet Fire IPA,6.543030303030303,Big Time Brewing,Seattle,United States,47.6576,-122.31299999999999,,North American Ale,American-Style India Pale Ale
The Immortal IPA,6.3,Elysian Brewery & Public House,Seattle,United States,47.614,-122.316,,North American Ale,American-Style India Pale Ale
BiFrÃ¶st Winter Ale,5.529090909090908,Elysian Brewery & Public House,Seattle,United States,47.614,-122.316,,North American Ale,American-Style Pale Ale
Elysian Fields Pale Ale,4.8,Elysian Brewery & Public House,Seattle,United States,47.614,-122.316,,North American Ale,American-Style Pale Ale
India Pale Ale,5.529090909090908,Pike Pub and Brewery,Seattle,United States,47.6081,-122.34,,North American Ale,American-Style Pale Ale
Oatmeal Stout,6.356694915254237,Pike Pub and Brewery,Seattle,United States,47.6081,-122.34,,North American Ale,American-Style Stout
Pale Ale,5.529090909090908,Pike Pub and Brewery,Seattle,United States,47.6081,-122.34,,North American Ale,American-Style Pale Ale
Imperial Stout,6.2,Twin Rivers Brewing,Monroe,United States,47.8559,-121.971,,North American Ale,American-Style Stout
Imperial I.P.A.,7.2,Twin Rivers Brewing,Monroe,United States,47.8559,-121.971,,North American Ale,American-Style Pale Ale
India Pale Ale,5.529090909090908,Twin Rivers Brewing,Monroe,United States,47.8559,-121.971,,North American Ale,American-Style Pale Ale
N.W. Pale Ale,5.0,Twin Rivers Brewing,Monroe,United States,47.8559,-121.971,,North American Ale,American-Style Pale Ale
Irish Stout,6.356694915254237,McMenamins Mill Creek,Mill Creek,United States,47.8774,-122.211,,North American Ale,American-Style Stout
I.M. Pale,5.529090909090908,McMenamins Mill Creek,Mill Creek,United States,47.8774,-122.211,,North American Ale,American-Style Pale Ale
Terminator Stout,6.45,McMenamins Mill Creek,Mill Creek,United States,47.8774,-122.211,"Black as the darkest night, rich as the most decadent dessert, Terminator is for the true stout lover. This is a full bodied and flavor packed ale which draws it's robust complexity from kiln-baked specialty grains. Look for a wide array of toasted, chocolate, nutty and coffee-like flavors in every pint! The devoted swear by it, and it remains one of our top selling ales year after year.",North American Ale,American-Style Stout
India Pale Ale,5.529090909090908,McMenamins Mill Creek,Mill Creek,United States,47.8774,-122.211,,North American Ale,American-Style Pale Ale
Hammerhead Ale,5.529090909090908,McMenamins Mill Creek,Mill Creek,United States,47.8774,-122.211,,North American Ale,American-Style Pale Ale
Industrial IPA,7.4,Diamond Knot Brewery & Alehouse,Mukilteo,United States,47.9485,-122.305,"This one's a butt-kicker! Essentially, the same recipe as the IPA, but with approximately 25% more grain and twice the hops!",North American Ale,Imperial or Double India Pale Ale
IPA,6.2,Diamond Knot Brewery & Alehouse,Mukilteo,United States,47.9485,-122.305,"OUR FLAGSHIP BEER, the one for which we're known throughout the Puget Sound. Columbus hops impart intense bitterness with flavors of grapefruit and a hint of cedar.",North American Ale,American-Style India Pale Ale
Steamer Glide Stout,4.8,Diamond Knot Brewery & Alehouse,Mukilteo,United States,47.9485,-122.305,,North American Ale,American-Style Stout
Brown Ale,5.6,Diamond Knot Brewery & Alehouse,Mukilteo,United States,47.9485,-122.305,,North American Ale,American-Style Brown Ale
Lighthouse Ale,4.3,Diamond Knot Brewery & Alehouse,Mukilteo,United States,47.9485,-122.305,,North American Ale,American-Style Pale Ale
Gale Force IPA,5.6,Scuttlebutt Brewing,Everett,United States,47.9975,-122.214,,North American Ale,American-Style India Pale Ale
Nut Brown,4.3,Scuttlebutt Brewing,Everett,United States,47.9975,-122.214,,North American Ale,American-Style Brown Ale
Amber Ale,5.1,Scuttlebutt Brewing,Everett,United States,47.9975,-122.214,,North American Ale,American-Style Brown Ale
Sequoia Red,5.703333333333332,Scuttlebutt Brewing,Everett,United States,47.9975,-122.214,,North American Ale,American-Style Amber/Red Ale
Skibbereen Stout,5.3,Skagit River Brewing,Mount Vernon,United States,48.4192,-122.335,,North American Ale,American-Style Stout
Navidad,5.703333333333332,Skagit River Brewing,Mount Vernon,United States,48.4192,-122.335,,North American Ale,American-Style Amber/Red Ale
Free Bike Amber,4.5,Skagit River Brewing,Mount Vernon,United States,48.4192,-122.335,,North American Ale,American-Style Amber/Red Ale
Skagit Brown Ale,4.8,Skagit River Brewing,Mount Vernon,United States,48.4192,-122.335,,North American Ale,American-Style Brown Ale
Yellowjacket Pale Ale,4.5,Skagit River Brewing,Mount Vernon,United States,48.4192,-122.335,,North American Ale,American-Style Pale Ale
Imperial Pale,5.529090909090908,Engine House #9,Tacoma,United States,47.256,-122.473,,North American Ale,American-Style Pale Ale
Irish Stout,6.356694915254237,Engine House #9,Tacoma,United States,47.256,-122.473,,North American Ale,American-Style Stout
India Pale Ale,6.6,Engine House #9,Tacoma,United States,47.256,-122.473,,North American Ale,American-Style Pale Ale
Firehouse Red,5.703333333333332,Engine House #9,Tacoma,United States,47.256,-122.473,,North American Ale,American-Style Amber/Red Ale
Poseidon Imperial Stout,6.356694915254237,Fish Brewing Company & Fish Tail Brewpub,Olympia,United States,47.0437,-122.897,,North American Ale,American-Style Stout
WinterFish Ale,7.5,Fish Brewing Company & Fish Tail Brewpub,Olympia,United States,47.0437,-122.897,,North American Ale,American-Style Pale Ale
Organic India Pale Ale,6.7,Fish Brewing Company & Fish Tail Brewpub,Olympia,United States,47.0437,-122.897,"Fish Tale Organic India Pale Ale is a medium-bodied beer with a rich golden color. The organic pale and crystal malts lay down a firm malt body. This provides the backbone for an assertive hop profile featuring organic Pacific Gem. The moment the Mighty Fish Brewers sampled this pungent and resinous New Zealand hop, they knew it would be perfect for their Organic I.P.A. The result: A Cascadian treasure.",North American Ale,American-Style India Pale Ale
Wild Salmon Pale Ale,4.0,Fish Brewing Company & Fish Tail Brewpub,Olympia,United States,47.0437,-122.897,,North American Ale,American-Style Pale Ale
Organic Amber Ale,5.0,Fish Brewing Company & Fish Tail Brewpub,Olympia,United States,47.0437,-122.897,"Medium-bodied with an appealing amber hue, this is the First Ale of the Republic. Its organic pale, Munich, and crystal malts create a gentle sweet character that is difficult to resist.  From organic Hallertauer hops come a zesty flavor and aroma that beautifully balance Organic Amber's malt profile. The result: Truly delicious ale that salutes organic farmers and all the goodness they bring to our tables.",North American Ale,American-Style Amber/Red Ale
Frosty Frog,5.529090909090908,Issaquah Brewhouse,Issaquah,United States,47.53,-122.037,,North American Ale,American-Style Pale Ale
Dry Hopped IPA,6.543030303030303,Elliott Bay Brewery and Pub,Seattle,United States,47.5604,-122.387,,North American Ale,American-Style India Pale Ale
No Doubt Stout,5.75,Elliott Bay Brewery and Pub,Seattle,United States,47.5604,-122.387,,North American Ale,American-Style Stout
Riot Ale,7.5,Elliott Bay Brewery and Pub,Seattle,United States,47.5604,-122.387,,North American Ale,American-Style Pale Ale
IPA,5.5,Elliott Bay Brewery and Pub,Seattle,United States,47.5604,-122.387,,North American Ale,American-Style India Pale Ale
Alembic Pale,5.5,Elliott Bay Brewery and Pub,Seattle,United States,47.5604,-122.387,,North American Ale,American-Style Pale Ale
Rat City IPA,6.543030303030303,Pacific Rim Brewing,Seattle,United States,47.5143,-122.353,,North American Ale,American-Style India Pale Ale
Fauntleroy Stout,6.356694915254237,Pacific Rim Brewing,Seattle,United States,47.5143,-122.353,,North American Ale,American-Style Stout
Alki Ale,5.529090909090908,Pacific Rim Brewing,Seattle,United States,47.5143,-122.353,,North American Ale,American-Style Pale Ale
Driftwood Ale,5.529090909090908,Pacific Rim Brewing,Seattle,United States,47.5143,-122.353,,North American Ale,American-Style Pale Ale
Cream Stout,6.5,St Peter's Brewery,Bungay,United Kingdom,36.7282,-76.5836,,North American Ale,American-Style Stout
MoJo India Pale Ale,6.8,Boulder Beer Company,Boulder,United States,40.0267,-105.24799999999999,,North American Ale,American-Style India Pale Ale
Super Natural Oatmeal Stout,8.0,Hawks Brewing,Roseburg,United States,43.2165,-123.34200000000001,,North American Ale,American-Style Stout
Double Daddy,9.5,Speakeasy Ales and Lagers,San Francisco,United States,37.7387,-122.381,,North American Ale,American-Style Pale Ale
Horn Dog,10.2,Flying Dog Brewery,Denver,United States,39.7582,-104.99,"By far the biggest dog in the yard... Horn Dog Barley Wine is a dark and malty English-style Barely Wine that is aged for a minimum of three months before being packaged. Like a fine wine, this beer will only get better with age when stored at optimum conditions.",North American Ale,American-Style Barley Wine Ale
Nut Brown Ale,5.565263157894736,Blackstone Restaurant & Brewery,Nashville,United States,36.152,-86.7989,,North American Ale,American-Style Brown Ale
Olde School Barleywine,15.04,Dogfish Head Craft Brewery,Milton,United States,38.7683,-75.3107,,North American Ale,American-Style Barley Wine Ale
Stone IPA,6.9,Stone Brewing Co.,Escondido,United States,33.1157,-117.12,"An \India Pale Ale\"" by definition is highly hopped and high in alcohol (ours is 6.9% alc./vol.).

Medium Bodied Refreshing Ale
Light-medium malt character with a heavy dose of over the top hops! Two full weeks of \""dry hopping\"" give this beer its abundant hop aroma and crisp hop flavor.""",North American Ale,American-Style India Pale Ale
Red Menace Big Amber,5.703333333333332,Hale's Ales #3,Seattle,United States,47.6592,-122.366,,North American Ale,American-Style Amber/Red Ale
Slip Knot Imperial IPA 2006,7.8,Full Sail Brewing #1,Hood River,United States,45.7103,-121.515,,North American Ale,American-Style India Pale Ale
Bottleworks IPA,8.5,Dick's Brewing,Centralia,United States,46.7713,-123.007,,North American Ale,American-Style India Pale Ale
Old Rasputin Russian Imperial Stout,9.0,North Coast Brewing Company,Fort Bragg,United States,39.4466,-123.806,"Produced in the tradition of 18th Century English brewers who supplied the court of Russia's Catherine the Great, Old Rasputin seems to develop a cult following wherever it goes. It's a rich, intense brew with big complex flavors and a warming finish.",North American Ale,American-Style Imperial Stout
Yeti Imperial Stout,9.5,Great Divide Brewing,Denver,United States,39.7539,-104.98899999999999,"Traditionally, Imperial Stouts, the biggest and boldest of all stouts, were brewed with massive amounts of roasted malts and hops, resulting in a velvety smooth but robust beer characterized by high alcohol content and extremely high hop bitterness. Meeting the challenge of this aggressive, challenging beer style, Great Divideâ€™s Yeti Imperial Stout is an onslaught of the senses. An almost viscous, inky-black brew, Yeti opens with a massive, roasty, chocolate, coffee malt flavor that eventually gives way to rich toffee and burnt caramel notes. Packed with an enormous quantity of American hops, Yetiâ€™s hop profile reveals a slightly citrusy, piney, and wonderfully dry hoppy finish.",North American Ale,American-Style Imperial Stout
Poperings Hommel Ale,7.5,Brouwerij Van Eecke,Watou,Belgium,50.8612,2.6615,,North American Ale,American-Style Pale Ale
Russian Imperial Stout,6.356694915254237,Thunderhead Brewery,Kearney,United States,40.6966,-99.0815,,North American Ale,American-Style Stout
Impromptu Pale Ale,5.0,Gottberg Brew Pub,Columbus,United States,41.4295,-97.3623,,North American Ale,American-Style Pale Ale
Bugeater Brown Ale,4.4,Gottberg Brew Pub,Columbus,United States,41.4295,-97.3623,,North American Ale,American-Style Brown Ale
Ivanhoe,5.2,Ridgeway Brewing,South Stoke,United Kingdom,51.5462,-1.1355,,North American Ale,American-Style Pale Ale
Stout,6.356694915254237,Platte Valley Brewing,Kearney,United States,40.6954,-99.0812,,North American Ale,American-Style Stout
Tip Top Pale Ale,5.529090909090908,Jobber's Canyon Restaurant & Brewery,Omaha,United States,41.254,-95.9993,,North American Ale,American-Style Pale Ale
Sticke,6.0,Uerige Obergrige Hausbrauerei,Dsseldorf,Germany,51.225,6.7722,,North American Ale,American-Style Brown Ale
Alt,4.5,Uerige Obergrige Hausbrauerei,Dsseldorf,Germany,51.225,6.7722,,North American Ale,American-Style Brown Ale
9th Anniversary IPA,7.5,Stone Brewing Co.,Escondido,United States,33.1157,-117.12,,North American Ale,American-Style India Pale Ale
Kentucky Ale,5.529090909090908,Alltech's Lexington Brewing Company,Lexington,United States,38.0501,-84.5088,,North American Ale,American-Style Pale Ale
Oatmeal Cream Stout,6.356694915254237,Siletz Roadhouse & Brewery,Siletz,United States,44.722,-123.91799999999999,,North American Ale,American-Style Stout
Pale Ale,5.529090909090908,Hale's Ales #3,Seattle,United States,47.6592,-122.366,,North American Ale,American-Style Pale Ale
Untouchable Pale Ale,5.5,Speakeasy Ales and Lagers,San Francisco,United States,37.7387,-122.381,,North American Ale,American-Style Pale Ale
X Extra Pale Ale,5.0,AleSmith Brewing,San Diego,United States,32.891999999999996,-117.14399999999999,,North American Ale,American-Style Pale Ale
Chehalem Mountain IPA,6.543030303030303,Golden Valley Brewery and Pub,McMinnville,United States,45.2104,-123.189,,North American Ale,American-Style India Pale Ale
Moylander Double IPA,8.5,Moylan's Brewery & Restaurant,Novato,United States,38.0941,-122.557,"â€œIf One is Good, Then Two is Better!â€ Our Moylander Double IPA is fat and resiny, with aggresive and excessive hops swinging on on an enormous malt backbone like naughty monkeys on a vine. Double malt, double hops - do the math, itâ€™s academic. This brew has twice the things youâ€™re looking for, and itâ€™s big enough to share with the one you love. And isnâ€™t that what it's all about?",North American Ale,Imperial or Double India Pale Ale
Indica India Pale Ale,6.5,Lost Coast Brewery,Eureka,United States,40.8032,-124.165,,North American Ale,American-Style Pale Ale
Old Ruffian,10.2,Great Divide Brewing,Denver,United States,39.7539,-104.98899999999999,"Old Ruffian is a hefty, hop-forward Barley Wine. Seemingly mellow at first sniff, with its subtle fruit aromas and complex caramel sweetness, this deep mahogany-hued ale quickly shows its true character marked by bold hop flavors and massive hop bitterness. Old Ruffianâ€™s rich, slightly creamy, caramel malt mouthfeel balances its grapefruit, pine, and floral hop flavors, working wonders on your palate.",North American Ale,American-Style Barley Wine Ale
Mongoose IPA,6.543030303030303,Hale's Ales #3,Seattle,United States,47.6592,-122.366,,North American Ale,American-Style India Pale Ale
Big Daddy IPA,6.5,Speakeasy Ales and Lagers,San Francisco,United States,37.7387,-122.381,"No lightweight, Big Daddy I.P.A tips the scales with a huge hop flavor and a clean, dry finish that leaves the scene without a trace.",North American Ale,American-Style India Pale Ale
Titan IPA,6.8,Great Divide Brewing,Denver,United States,39.7539,-104.98899999999999,"Traditionally India Pale Ales, the hoppiest of all pales, were brewed with more alcohol and large quantities of hops in order to survive the lengthy ocean journey from the U.K. to India. Unlike our brewing forefathers, Great Divide enjoys the modern benefits of refrigeration and we donâ€™t have any plans to ship Titan IPA to India. Instead, we brew Titan IPA for hop disciples â€“ independent beer drinkers seeking out robust, flavorful beers characterized by their abundance of hops flavor, aroma and bitterness. As a big, aggressively hopped India Pale Ale, Titan IPA fills this bill â€“ beginning with piney hop aromas and citrus hop flavors, and finishing with a rich, malty sweetness that is carefully balanced with crisp hop bitterness.",North American Ale,American-Style India Pale Ale
Speedway Stout,12.0,AleSmith Brewing,San Diego,United States,32.891999999999996,-117.14399999999999,"A HUGE Imperial Stout that weighs in at an impressive 12% ABV! As if that's not enough, we added pounds of coffee for a little extra kick. Our special-edition Brewer's Reserve Speedway Stout, which is aged in Bourbon barrels, has been rated the #1 BEST BEER IN THE WORLD at ratebeer.com. It was also featured on CNBC's \Squawk Box\"" in a segment on the best dark beers in America.""",North American Ale,American-Style Imperial Stout
Cream Stout,6.356694915254237,Dick's Brewing,Centralia,United States,46.7713,-123.007,,North American Ale,American-Style Stout
Quail Springs IPA,6.0,Deschutes Brewery,Bend,United States,44.0474,-121.323,,North American Ale,American-Style India Pale Ale
IPA,5.5,Dick's Brewing,Centralia,United States,46.7713,-123.007,,North American Ale,American-Style India Pale Ale
Porter Czarny Boss / Black BOSS Porter,9.6,BOSS Browar Witnica S.A.,Witnica,Poland,52.6739,14.9004,,North American Ale,American-Style Stout
Oak Aged Yeti Imperial Stout,9.5,Great Divide Brewing,Denver,United States,39.7539,-104.98899999999999,"Crack open Yeti Imperial Stoutâ€™s sophisticated sibling â€“ Oak Aged Yeti Imperial Stout. Although these beers come from the same clan, they have entirely different personalities. Aging on a blend of French and toasted oak chips infuses a subtle oak and vanilla character into Yetiâ€™s already intense chocolate, roasted coffee malt flavor and hugely assertive hop profile. Who says you canâ€™t tame a Yeti?",North American Ale,American-Style Imperial Stout
Stout,6.356694915254237,Stone Cellar Brewpub & Restaurant,Appleton,United States,44.2536,-88.4037,,North American Ale,American-Style Stout
Pioneer Black River Red,5.703333333333332,Sand Creek Brewing Company,Black River Falls,United States,44.2929,-90.8511,,North American Ale,American-Style Amber/Red Ale
Double IPA,6.8,Upstream Brewing Company at Legacy,Omaha,United States,41.2331,-96.1811,,North American Ale,American-Style India Pale Ale
Blackstone Stout,5.9,Upstream Brewing Company at Legacy,Omaha,United States,41.2331,-96.1811,,North American Ale,American-Style Stout
Red Ale,5.5,Independence Brew Pub,Philadelphia,United States,39.9526,-75.1594,,North American Ale,American-Style Amber/Red Ale
Nokdechiloff,12.7,Manayunk Brewery and Restaurant,Philadelphia,United States,40.0236,-75.2202,"This winter warmer will knock the chill away until summer. It used as much malt as our brew house can handle and armloads of fresh hops and lovingly laid in our fermentor for four months. Massively malty and balanced with burly bitterness it is truly the king of beers, approaching wine in strength. A definitive one to have when youâ€™re only having one. Adoringly served in brandy snifters to preserve precious properties.",North American Ale,American-Style Barley Wine Ale
California Dreaming,8.0,Manayunk Brewery and Restaurant,Philadelphia,United States,40.0236,-75.2202,"Imperial, or super IPAâ€™s were spawned out of the fascination of hops by the American consumer and are beyond Pale Ales and IPAâ€™S in terms of both hop and alcohol content. Our interpretation is orange-gold in color, lightly bitter but highly hoppy with a firm malt backbone. 
Weâ€™ll gladly put this head-to-head with the best that those California Hophead/Brewers have to offer.",North American Ale,Imperial or Double India Pale Ale
Krooks Mill,5.3,Manayunk Brewery and Restaurant,Philadelphia,United States,40.0236,-75.2202,"A well-balanced, hoppy American style pale ale with a generous usage of Caramel and Crystal malts. This beer is amber in color and is finished
with fresh Cascade, Columbus and Mt. Hood hops from the Pacific Northwest for a wonderful floral aroma. World Beer Cup Bronze Medal winner and a Perennial favorite here at the Brewery. Also available in bottles to go.",North American Ale,American-Style Pale Ale
3C Extreme,5.529090909090908,Nodding Head Brewpub,Philadelphia,United States,39.9502,-75.1666,,North American Ale,American-Style Pale Ale
Bill Payer Ale / BPA,5.529090909090908,Nodding Head Brewpub,Philadelphia,United States,39.9502,-75.1666,,North American Ale,American-Style Pale Ale
Oatmeal Stout,6.356694915254237,Independence Brew Pub,Philadelphia,United States,39.9526,-75.1594,,North American Ale,American-Style Stout
IPA,6.543030303030303,Independence Brew Pub,Philadelphia,United States,39.9526,-75.1594,,North American Ale,American-Style India Pale Ale
Regiment Pale Ale,6.1,Valley Forge Brewing,Wayne,United States,40.0439,-75.3881,,North American Ale,American-Style Pale Ale
Red Coat Ale,5.7,Valley Forge Brewing,Wayne,United States,40.0439,-75.3881,,North American Ale,American-Style Amber/Red Ale
Anniversary IPA Ahtanum,7.2,Sly Fox Brewhouse and Eatery - Royersford,Royersford,United States,40.1943,-75.53399999999999,,North American Ale,American-Style India Pale Ale
Anniversary IPA Glacier,7.2,Sly Fox Brewhouse and Eatery - Royersford,Royersford,United States,40.1943,-75.53399999999999,,North American Ale,American-Style India Pale Ale
Route 113 IPA,7.2,Sly Fox Brewhouse and Eatery - Royersford,Royersford,United States,40.1943,-75.53399999999999,"A big, flavorful IPA for all the hopheads out there, brewed with British Pale and Crystal malts, and hopped with Centennial, Cascade, German Northern Brewer, & UK East Kent Goldings. Bold and spicy.",North American Ale,American-Style India Pale Ale
Phoenix Pale Ale,5.5,Sly Fox Brewhouse and Eatery - Royersford,Royersford,United States,40.1943,-75.53399999999999,,North American Ale,American-Style Pale Ale
Golden Treasure,4.2,Crabby Larry's Brewpub Steak & Crab House,Chalfont,United States,40.2795,-75.2143,"For those who enjoy a clean, crisp, refreshing beer this medium copper colored brew is perfect. With its low level of hop bitterness and slightly sweet flavor it is one of our lightest ales. We use the lightest grains with Kent Goldings and Liberty hops. This beer is an excellent choice for the not so brave.",North American Ale,Golden or Blonde Ale
Calico Jack Amber Ale,5.4,Crabby Larry's Brewpub Steak & Crab House,Chalfont,United States,40.2795,-75.2143,"A rich, malty beer made with classic American hops for a full and complex flavor. Very smooth in aroma and palate. The caramel overtones leave a nice finish.",North American Ale,American-Style Amber/Red Ale
Pale Ale,5.529090909090908,Crabby Larry's Brewpub Steak & Crab House,Chalfont,United States,40.2795,-75.2143,,North American Ale,American-Style Pale Ale
Irish Stout,6.356694915254237,Porterhouse Restaurant and Brewpub,Lahaska,United States,40.3341,-75.012,,North American Ale,American-Style Stout
Hop Hazard,5.529090909090908,Porterhouse Restaurant and Brewpub,Lahaska,United States,40.3341,-75.012,,North American Ale,American-Style Pale Ale
Special Ale,5.703333333333332,Porterhouse Restaurant and Brewpub,Lahaska,United States,40.3341,-75.012,,North American Ale,American-Style Amber/Red Ale
East Kent IPA,6.6,McKenzie Brew House,Glen Mills,United States,39.8658,-75.5442,,North American Ale,American-Style India Pale Ale
Black Lab Stout,5.7,McKenzie Brew House,Glen Mills,United States,39.8658,-75.5442,,North American Ale,American-Style Stout
Old Rogue Pale Ale,5.5,McKenzie Brew House,Glen Mills,United States,39.8658,-75.5442,,North American Ale,American-Style Pale Ale
Unicorn Amber Ale,4.0,McKenzie Brew House,Glen Mills,United States,39.8658,-75.5442,,North American Ale,American-Style Amber/Red Ale
Pale Ale,5.529090909090908,John Harvard's Brewhouse - Wilmington,Wilmington,United States,39.7458,-75.5467,,North American Ale,American-Style Pale Ale
Russian Imperial Stout,9.5,Iron Hill Brewery - Wilmingon,Wilmington,United States,39.745,-75.5561,,North American Ale,American-Style Stout
Ironbound Ale,5.1,Iron Hill Brewery - Wilmingon,Wilmington,United States,39.745,-75.5561,"Hold onto your beer mugs, because this medium-bodied beer has been overwhelmed with hop additions. Brewed as an American pale ale, it's a celebration of American hop varieties: Cascade, Crystal, Centennial and Chinook. You won't be disappointed.",North American Ale,American-Style Pale Ale
Eagle Lake Pale Ale,5.529090909090908,Bandana Brewery,Mankato,United States,44.1636,-93.9994,,North American Ale,American-Style Pale Ale
Rapidan Brown,5.565263157894736,Bandana Brewery,Mankato,United States,44.1636,-93.9994,,North American Ale,American-Style Brown Ale
Saint Peter Red,5.703333333333332,Bandana Brewery,Mankato,United States,44.1636,-93.9994,,North American Ale,American-Style Amber/Red Ale
Kasota IPA,6.543030303030303,Bandana Brewery,Mankato,United States,44.1636,-93.9994,,North American Ale,American-Style India Pale Ale
Stout,6.356694915254237,Firehouse Brewery & Restaurant,Red Oak,United States,41.0117,-95.2272,,North American Ale,American-Style Stout
Long Face Amber,5.703333333333332,Olde Main Brewing,Ames,United States,42.0248,-93.6147,,North American Ale,American-Style Amber/Red Ale
"Stout \To Be Named Later\""""",6.356694915254237,Olde Main Brewing,Ames,United States,42.0248,-93.6147,,North American Ale,American-Style Stout
Mild Brown,5.565263157894736,Olde Main Brewing,Ames,United States,42.0248,-93.6147,,North American Ale,American-Style Brown Ale
Derailed Ale,5.529090909090908,Twin Ports Brewing,Superior,United States,46.7208,-92.1041,,North American Ale,American-Style Pale Ale
Big Boat Oatmeal Stout,6.6,"Fitger's Brewhouse, Brewery and Grill",Duluth,United States,46.7926,-92.0909,,North American Ale,American-Style Stout
XXX English Ale,6.6,"Fitger's Brewhouse, Brewery and Grill",Duluth,United States,46.7926,-92.0909,,North American Ale,American-Style Pale Ale
El NiÃ±o IPA,6.543030303030303,"Fitger's Brewhouse, Brewery and Grill",Duluth,United States,46.7926,-92.0909,,North American Ale,American-Style India Pale Ale
Starfire Pale Ale,6.2,"Fitger's Brewhouse, Brewery and Grill",Duluth,United States,46.7926,-92.0909,,North American Ale,American-Style Pale Ale
Pale Ale,5.529090909090908,South Shore Brewery,Ashland,United States,46.5872,-90.8921,,North American Ale,American-Style Pale Ale
Nut Brown Ale,4.2,South Shore Brewery,Ashland,United States,46.5872,-90.8921,,North American Ale,American-Style Brown Ale
Grotten Brown,6.7,Brouwerij St. Bernardus,Watou,Belgium,50.8425,2.6362,"The latest acquisition â€œGrottenbierâ€ was created by Master Brewer Pierre Celis. It is an aromatic dark beer with 6.5% alcohol content.

In the marl pits in Kanne ( Belgium) and Valkenburg (the Netherlands), deep under the ground, you can taste the Grottenbier in a constant temperature of 11Â° Celsius.

As it is the case with Champagne, the bottles are placed in a â€œpupitreâ€ with results in an additional fermentation. 

This beer with a high fermentation with a second fermentation in the bottle has been pointed out as one of the best 10 present-day beers by beer guru Michael Jackson.",North American Ale,Dark American-Belgo-Style Ale
Imperial Stout,8.2,Lagunitas Brewing Company,Petaluma,United States,38.2724,-122.662,,North American Ale,American-Style Stout
Censored (aka The Kronic),5.9,Lagunitas Brewing Company,Petaluma,United States,38.2724,-122.662,,North American Ale,American-Style Amber/Red Ale
IPA,6.7,Terminal Gravity Brewing,Enterprise,United States,45.4192,-117.272,,North American Ale,American-Style India Pale Ale
Desert Pale Ale,5.529090909090908,Indian Wells Brewing,Inyokern,United States,35.6675,-117.874,,North American Ale,American-Style Pale Ale
Black Lab Stout,6.356694915254237,Big Dog's Brewing Company,Las Vegas,United States,36.2426,-115.236,,North American Ale,American-Style Stout
Amber,5.565263157894736,Mammoth Brewing,Mammoth Lakes,United States,37.6484,-118.98299999999999,,North American Ale,American-Style Brown Ale
Otis Alt,5.3,Elk Grove Brewery & Restaurant,Elk Grove,United States,38.4093,-121.363,,North American Ale,American-Style Brown Ale
American Pale Ale,5.2,Thomas Hooker Brewing,Bloomfield,United States,41.8087,-72.7108,"Thomas Hooker American Pale Ale is an extremely vivid, medium-bodied brew. Hooker Pale Ale stresses the crisp bitterness, lingering resin flavor, and aroma of American hops which are characteristic of the most distinctive West Coast Ales. The caramel sweetness of the malt balances the chock-full-of-hops flavor to yield a complex but quite refreshing brew.",North American Ale,American-Style Pale Ale
Thundermuck Stout,6.356694915254237,Bill's Tavern & Brewhouse,Cannon Beach,United States,45.8981,-123.961,,North American Ale,American-Style Stout
Solidarity,6.356694915254237,New Albanian Brewing,New Albany,United States,38.3281,-85.8171,,North American Ale,American-Style Stout
Buccaneer Brown Ale,5.565263157894736,Ham's Restaurant and Brewhouse,Greenville,United States,35.6083,-77.3732,,North American Ale,American-Style Brown Ale
